,headphone name,price,rating,offer
0,Neo ULTRAPOD Bluetooth True Wireless (TWS) On Ear 30 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Black,"<span class=""lfloat product-price"" data-price=""347"" display-price=""347"" id=""display-price-646411825682"">Rs.  347</span>","<p class=""product-rating-count"">(58)</p>",<span>73% Off</span>
1,OLIVEOPS P9 Blue Headphones Bluetooth Bluetooth Headphone On Ear 4 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Blue,"<span class=""lfloat product-price"" data-price=""508"" display-price=""508"" id=""display-price-646141478264"">Rs.  508</span>","<p class=""product-rating-count"">(58)</p>",<span>83% Off</span>
2,Life Like Transparent Type C True Wireless (TWS) In Ear 10 Hours Playback Powerfull bass IPX4(Splash & Sweat Proof) Purple,"<span class=""lfloat product-price"" data-price=""422"" display-price=""422"" id=""display-price-624738301783"">Rs.  422</span>","<p class=""product-rating-count"">(11)</p>",<span>79% Off</span>
3,VEhop Eunity POP 20Hrs In Ear Bluetooth Neckband 20 Hours Playback IPX4(Splash & Sweat Proof) Magnetic earpeice -Bluetooth V 5.0 Multicolor,"<span class=""lfloat product-price"" data-price=""405"" display-price=""405"" id=""display-price-651668927013"">Rs.  405</span>","<p class=""product-rating-count"">(64)</p>",<span>86% Off</span>
4,OLIVEOPS P9 Green Headphones Bluetooth Bluetooth Headphone On Ear 4 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Green,"<span class=""lfloat product-price"" data-price=""508"" display-price=""508"" id=""display-price-638167353858"">Rs.  508</span>","<p class=""product-rating-count"">(68)</p>",<span>83% Off</span>
5,OLIVEOPS P9 Red Headphones Bluetooth Bluetooth Headphone On Ear 4 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Red,"<span class=""lfloat product-price"" data-price=""499"" display-price=""499"" id=""display-price-679355283278"">Rs.  499</span>","<p class=""product-rating-count"">(25)</p>",<span>83% Off</span>
6,"VEhop AirDoze Bluetooth True Wireless (TWS) In Ear 30 Hours Playback Fast charging,Powerfull bass IPX4(Splash & Sweat Proof) Navy","<span class=""lfloat product-price"" data-price=""716"" display-price=""716"" id=""display-price-672437154934"">Rs.  716</span>","<p class=""product-rating-count"">(12)</p>",<span>76% Off</span>
7,OLIVEOPS P9 Silver Headphones Bluetooth Bluetooth Headphone On Ear 4 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Silver,"<span class=""lfloat product-price"" data-price=""508"" display-price=""508"" id=""display-price-668193624854"">Rs.  508</span>","<p class=""product-rating-count"">(78)</p>",<span>83% Off</span>
8,"VEhop Ninja On Ear Bluetooth Headphone 15 Hours Playback IPX4(Splash & Sweat Proof) Powerfull bass,Fast charging -Bluetooth V 5.0 Assorted","<span class=""lfloat product-price"" data-price=""716"" display-price=""716"" id=""display-price-668678219026"">Rs.  716</span>","<p class=""product-rating-count"">(63)</p>",<span>82% Off</span>
9,Neo RBH Noise isolation with massive 5 hours music time with boosted sound bluetooth connect headphone earphones (Charcoal Black),"<span class=""lfloat product-price"" data-price=""247"" display-price=""247"" id=""display-price-641259050789"">Rs.  247</span>","<p class=""product-rating-count"">(86)</p>",<span>81% Off</span>
10,VEhop BNB-09 50Hrs PlayTime with Mic Neckband Wireless With Mic Headphones/Earphones Assorted,"<span class=""lfloat product-price"" data-price=""447"" display-price=""447"" id=""display-price-653810291261"">Rs.  447</span>","<p class=""product-rating-count"">(18)</p>",<span>85% Off</span>
11,"TUNE AUDIO TITAN DOLBY EFFECT BASS SOUND IPX5 WITH MASSIVE 26 HOURS MUSIC PLAYBACK WITH BOOSTED SOUND BLUETOOTH HEADPHONE,BLUETOOTH EARPHONE,BLUETOOTH NECKBAND FOR TUNE AUDIO","<span class=""lfloat product-price"" data-price=""366"" display-price=""366"" id=""display-price-654359901490"">Rs.  366</span>","<p class=""product-rating-count"">(1566)</p>",<span>82% Off</span>
12,VEhop Eunity  Rebel In Ear Bluetooth Neckband 12 Hours Playback IPX4(Splash & Sweat Proof) Magnetic earpeice -Bluetooth V 5.0 Assorted,"<span class=""lfloat product-price"" data-price=""394"" display-price=""394"" id=""display-price-653666786991"">Rs.  394</span>","<p class=""product-rating-count"">(222)</p>",<span>74% Off</span>
13,VEhop BNB-07 72Hrs with Mic Neckband Wireless With Mic Headphones/Earphones Assorted,"<span class=""lfloat product-price"" data-price=""447"" display-price=""447"" id=""display-price-673085268650"">Rs.  447</span>","<p class=""product-rating-count"">(18)</p>",<span>85% Off</span>
14,Bell BELL HEADPHONES 3.5 mm Wired Headphone Over Ear 0 Hours Playback Noise isolation IPX6(Water Resistant) Black,"<span class=""lfloat product-price"" data-price=""411"" display-price=""411"" id=""display-price-679981824263"">Rs.  411</span>","<p class=""product-rating-count"">(2)</p>",<span>71% Off</span>
15,"VEhop Reason Elite Over Ear Bluetooth Headphone 6 Hours Playback IPX4(Splash & Sweat Proof) Powerfull bass,Fast charging -Bluetooth V 5.0 Assorted","<span class=""lfloat product-price"" data-price=""756"" display-price=""756"" id=""display-price-624485243445"">Rs.  756</span>","<p class=""product-rating-count"">(8)</p>",<span>85% Off</span>
16,UBON CL 125 Bluetooth Bluetooth Neckband On Ear 16 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Black,"<span class=""lfloat product-price"" data-price=""429"" display-price=""429"" id=""display-price-632268212603"">Rs.  429</span>","<p class=""product-rating-count"">(1)</p>",<span>57% Off</span>
